sensor_id,sensor_code,x_longitude,y_latitude,SITIO,azimute
132,01385200,-38.554858,-3.809822,01385200,195
133,01385121,-38.503374,-3.751572,01385121,75
134,01385049,-38.584375,-3.733799,01385049,170
135,01385071,-38.546763,-3.761182,01385071,215
136,01385116,-38.495584,-3.727363,01385116,115
137,01385012,-38.551287,-3.785773,01385012,300
138,01385074,-38.569599,-3.707915,01385074,290
139,01385002,-38.513045,-3.775172,01385002,185
140,01385060,-38.538472,-3.728982,01385060,290
141,01385041,-38.55899,-3.711217,01385041,105
142,01385048,-38.584259,-3.733959,01385048,350
143,01385186,-38.536799,-3.75038,01385186,195
144,01385197,-38.532348,-3.719271,01385197,105
145,01385033,-38.578902,-3.70404,01385033,295
146,01385128,-38.520646,-3.753591,01385128,85
147,01385194,-38.517025,-3.753098,01385194,260
148,01385148,-38.496523,-3.747202,01385148,200
149,01385183,-38.534894,-3.744532,01385183,300
150,01385001,-38.512943,-3.775191,01385001,5
151,01385072,-38.587856,-3.717611,01385072,350
152,01385196,-38.532281,-3.719136,01385196,300
153,01385198,-38.494744,-3.741908,01385198,15
154,01385030,-38.57474,-3.811549,01385030,200
155,01385036,-38.558746,-3.716919,01385036,285
156,01385138,-38.49825,-3.736228,01385138,290
157,01385170,-38.522951,-3.733912,01385170,195
158,01385136,-38.498465,-3.736235,01385136,110
159,01385150,-38.509382,-3.743206,01385150,200
160,01385032,-38.574913,-3.811744,01385032,105
161,01385034,-38.579159,-3.704059,01385034,110
162,01385029,-38.61562,-3.818768,01385029,40
163,01385115,-38.495474,-3.727475,01385115,20
164,01385164,-38.549223,-3.748865,01385164,45
165,01385058,-38.563577,-3.710028,01385058,105
166,01385097,-38.535967,-3.731938,01385097,105
167,01385069,-38.55548,-3.755081,01385069,40
168,01385043,-38.588576,-3.790757,01385043,230
169,01385212,-38.519754,-3.723547,01385212,95
170,01385190,-38.539288,-3.825639,01385190,285
171,01385016,-38.572696,-3.712192,01385016,105
172,01385061,-38.538641,-3.728986,01385061,105
173,01385120,-38.503267,-3.751642,01385120,15
174,01385039,-38.560483,-3.716327,01385039,285
175,01385089,-38.536561,-3.734852,01385089,290
176,01385052,-38.560973,-3.735021,01385052,75
177,01385165,-38.508514,-3.732927,01385165,105
178,01385019,-38.566464,-3.735988,01385019,260
179,01385143,-38.493481,-3.737727,01385143,200
180,01385192,-38.495733,-3.821251,01385192,160
181,01385187,-38.469566,-3.745474,01385187,290
182,01385127,-38.520481,-3.75364,01385127,350
183,01385075,-38.569642,-3.708028,01385075,120
184,01385151,-38.50151,-3.745728,01385151,100
185,01385031,-38.574566,-3.811758,01385031,290
186,01385073,-38.588013,-3.717395,01385073,175
187,01385218,-38.489711,-3.743462,01385218,110
188,01385070,-38.555399,-3.754849,01385070,225
189,01385107,-38.499864,-3.79707,01385107,260
190,01385181,-38.477956,-3.742879,01385181,110
191,01385102,-38.558225,-3.820954,01385102,200
192,01385068,-38.566759,-3.763976,01385068,220
193,01385017,-38.572683,-3.712145,01385017,285
194,01385182,-38.514246,-3.736801,01385182,285
195,01385188,-38.489169,-3.726332,01385188,260
196,01385014,-38.548156,-3.787474,01385014,110
197,01385211,-38.571975,-3.803436,01385211,15
198,01385015,-38.547772,-3.787628,01385015,295
199,01385202,-38.538705,-3.749729,01385202,10
200,01385141,-38.493478,-3.737928,01385141,20
201,01385086,-38.552914,-3.749287,01385086,130
202,01385066,-38.566784,-3.764248,01385066,35
203,01385160,-38.482927,-3.737105,01385160,25
204,01385103,-38.530022,-3.731779,01385103,105
205,01385142,-38.493576,-3.737816,01385142,105
206,01385129,-38.520404,-3.7535,01385129,260
208,01385169,-38.566748,-3.787367,01385169,355
209,01385184,-38.496609,-3.747256,01385184,105
210,01385147,-38.492405,-3.734819,01385147,290
211,01385146,-38.492644,-3.734834,01385146,100
212,01385038,-38.565086,-3.714818,01385038,105
213,01385104,-38.529819,-3.731774,01385104,285
214,01385040,-38.560716,-3.716298,01385040,110
215,01385085,-38.55289,-3.749257,01385085,310
216,01385145,-38.492515,-3.734949,01385145,15
217,01385185,-38.516747,-3.736046,01385185,105
218,01385189,-38.496816,-3.74836,01385189,15
219,01385144,-38.493377,-3.737816,01385144,280
220,01385166,-38.499493,-3.740187,01385166,285
221,01385204,-38.518179,-3.729923,01385204,105
222,01385109,-38.508844,-3.741729,01385109,20
223,01385195,-38.491236,-3.730981,01385195,15
224,FS017,-38.56722,-3.80471,FS017,280
225,01385134,-38.5848,-3.748486,01385134,175
226,01385178,-38.584662,-3.74848,01385178,355
227,01385206,-38.584371,-3.732979,01385206,350
228,01385205,-38.584488,-3.732821,01385205,170
229,01385207,-38.534326,-3.735705,01385207,40
230,01385006,-38.576553,-3.76532,01385006,15
231,01385007,-38.576535,-3.765077,01385007,205
232,01385119,-38.58634,-3.72368,01385119,175
233,01385118,-38.586189,-3.723891,01385118,355
234,AT208,-38.557909,-3.762658,AT208,25
235,AT207,-38.545805,-3.748404,AT207,30
236,01385228,-38.551282,-3.785762,01385228,300
237,01385227,-38.551358,-3.78589,01385227,120
238,01385230,-38.548128,-3.787484,01385230,110
239,01385231,-38.547804,-3.787604,01385231,300
240,01385232,-38.561955,-3.777295,01385232,330
241,01385084,-38.505314,-3.723576,01385084,290
242,01385222,-38.505508,-3.723539,01385222,120
243,FS115,-38.564293,-3.818331,FS115,105
244,FS111,-38.502462,-3.791802,FS111,160
245,FS110,-38.50158,-3.793456,FS110,335
246,AT211,-38.531981,-3.75311,AT211,135
247,01385221,-38.509612,-3.721596,01385221,115
248,01385219,-38.509414,-3.721631,01385219,300
249,01385062,-38.521236,-3.828651,01385062,265
250,01385046,-38.573851,-3.760521,01385046,285
251,AT214,-38.473656,-3.747737,AT214,105
252,AT210,-38.481023,-3.729669,AT210,30
253,AT213,-38.494465,-3.845733,AT213,2
254,AT209,-38.480511,-3.726927,AT209,175
255,AT212,-38.494466,-3.844235,AT212,180
256,01385162,-38.517615,-3.793529,01385162,15
257,01385177,-38.564677,-3.779312,01385177,195
258,01385153,-38.56466,-3.779561,01385153,15
259,01385163,-38.517757,-3.793496,01385163,190
260,01385220,-38.50637,-3.726773,01385220,285
261,01385225,-38.530633,-3.754123,01385225,315
262,FS114,-38.562546,-3.819017,FS114,305
263,FS113,-38.491093,-3.766181,FS113,135
264,FS112,-38.49112,-3.766085,FS112,300
265,01385250,-38.498748,-3.736154,01385250,100
266,01385238,-38.498453,-3.736199,01385238,105
267,01385247,-38.501806,-3.735167,01385247,105
268,01385079,-38.573172,-3.779792,01385079,245
269,01385252,-38.496983,-3.736738,01385252,105
270,01385274,-38.498914,-3.732732,01385274,290
271,01385254,-38.494942,-3.7374,01385254,105
272,01385256,-38.493031,-3.738022,01385256,105
273,01385240,-38.493561,-3.737791,01385240,105
274,01385276,-38.500791,-3.732118,01385276,280
275,01385249,-38.499902,-3.735787,01385249,105
276,01385268,-38.492929,-3.73465,01385268,290
277,01385243,-38.492405,-3.734837,01385243,285
278,AT218,-38.568402,-3.72541,AT218,15
279,01385258,-38.491094,-3.738651,01385258,105
280,01385260,-38.489422,-3.739186,01385260,105
281,01385244,-38.486929,-3.735896,01385244,270
282,01385262,-38.487645,-3.735865,01385262,270
283,01385264,-38.488919,-3.735922,01385264,270
284,01385272,-38.496625,-3.733451,01385272,290
285,01385266,-38.489971,-3.735577,01385266,290
286,01385270,-38.494939,-3.733991,01385270,290
287,AT216,-38.559473,-3.740421,AT216,250
288,AT217,-38.559904,-3.74059,AT217,75
289,AT215,-38.59174,-3.757111,AT215,120
290,01385255,-38.493956,-3.737724,01385255,105
291,01385226,-38.573806,-3.812123,01385226,105
292,01385277,-38.475231,-3.743753,01385277,105
293,01385245,-38.475104,-3.743687,01385245,290
294,FS116,-38.518617,-3.798137,FS116,10
295,01385233,-38.495658,-3.821224,01385233,335
296,01385223,-38.576184,-3.776727,01385223,210
297,01385224,-38.576214,-3.776835,01385224,40
298,01385251,-38.497831,-3.736464,01385251,105
299,01385253,-38.495918,-3.737083,01385253,105
300,01385201,-38.536983,-3.724058,01385201,290
301,01385234,-38.542115,-3.744266,01385234,45
302,01385241,-38.49348,-3.737728,01385241,195
