X,Y,ID,SERIE,SITIO,AZIMUTE,SCN,VIAPRINC,BAIRRO,SITIO1,SERIE1,STATUS,FINALIDADE,ENDERECO,BENEFICIAD,DESCRTIPOL,DATAATIVAC,DATADESATI,FISCALIZAC,TOTALFXS,TEMDISPLAY,TEMCONTAGE,INFVELOCID,INFAVANCO,INFPARADAF,INFCONVERS,INFRETORNO,INFFXEXCLU,INFCIRCCAM,INFCAPACET,INFCINTOSE,KML_NAME,DESCRIO,DESCRIO2,MULTIPLE_F
-38.573683,-3.808303,141,ATSMS00544,AT076,195,00199:a,AV GODOFREDO MACIEL,MONDUBIM,AT076,ATSMS00544,Ativo,Fiscalizao,"Av. Godofredo Maciel, 3800  [N-S]",Indefinido,Meio de quadra,20130429.000000,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,AT076 - ATSMS00544,"<b>AT076 - ATSMS00544</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>29/04/2013<br><b>Local:</b> Av. Godofredo Maciel, 3800  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",AT076|ATSMS00544
-38.573544,-3.808338,142,ATSMS00537,AT089,20,00199:a,AV GODOFREDO MACIEL,MONDUBIM,AT089,ATSMS00537,Ativo,Fiscalizao,"Av. Godofredo Maciel, 3800 - Oposto  [S-N]",Indefinido,Meio de quadra,20130429.000000,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,AT089 - ATSMS00537,"<b>AT089 - ATSMS00537</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>29/04/2013<br><b>Local:</b> Av. Godofredo Maciel, 3800 - Oposto  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",AT089|ATSMS00537
-38.571975,-3.803436,156,130224.1144,01385211,15,00492:k,AV GODOFREDO MACIEL,MONDUBIM,01385211,130224.1144,Ativo,Fiscalizao,Av. Godofredo Maciel x R. Benjamim Brasil  [S-N],Indefinido,Cruzamento,20130702.000000,,Misto,3,N,S,S,S,S,N,N,N,N,N,N,01385211 - 130224.1144,<b>01385211 - 130224.1144</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>02/07/2013<br><b>Local:</b> Av. Godofredo Maciel x R. Benjamim Brasil  - Indefinido<br>Cruzamento<br>,"<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade; Parada; Avano;",01385211|130224.1144
-38.562462,-3.841088,66,FSMTD0198,FS085,190,00350:g,AV BERNARDO MANUEL,PREFEITO JOS VALTER,FS085,FSMTD0198,Ativo,Fiscalizao,"Av. Joo de Arajo Lima, 2190  [N-S]",Indefinido,Meio de quadra,20130221.000000,,Metrolgico,2,N,S,S,N,N,N,N,N,N,N,N,FS085 - FSMTD0198,"<b>FS085 - FSMTD0198</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>21/02/2013<br><b>Local:</b> Av. Joo de Arajo Lima, 2190  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 2<br><b> Infraes: </b>Velocidade;",FS085|FSMTD0198
-38.560723,-3.832891,5,FSMTD0220,FS024,190,00350:f,AV BERNARDO MANUEL,PREFEITO JOS VALTER,FS024,FSMTD0220,Ativo,Fiscalizao,"Av. Joo de Arajo Lima, 1241  [N-S]",Colgio 21 de Julho,Travessia de pedestres,20130221.000000,,Metrolgico,2,N,S,S,N,N,N,N,N,N,N,N,FS024 - FSMTD0220,"<b>FS024 - FSMTD0220</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>21/02/2013<br><b>Local:</b> Av. Joo de Arajo Lima, 1241  - Colgio 21 de Julho<br>Travessia de pedestres<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 2<br><b> Infraes: </b>Velocidade;",FS024|FSMTD0220
-38.56563,-3.817529,23,FSMTD0143,FS040,290,00350:f,AV PRESIDENTE COSTA E SILVA,MONDUBIM,FS040,FSMTD0143,Ativo,Fiscalizao,"Av. Presidente Costa e Silva, 1734 - Oposto  [L-O]",Indefinido,Meio de quadra,20130313.000000,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,FS040 - FSMTD0143,"<b>FS040 - FSMTD0143</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>13/03/2013<br><b>Local:</b> Av. Presidente Costa e Silva, 1734 - Oposto  - Indefinido<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",FS040|FSMTD0143
-38.564293,-3.818331,286,FSMTD252,FS115,105,00350:f,AV PRESIDENTE COSTA E SILVA,MONDUBIM,FS115,FSMTD252,Ativo,Fiscalizao,"Av. Presidente Costa e Silva, 2140  [O-L]",AVINE,Meio de quadra,20140603.000000,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,FS115 - FSMTD252,"<b>FS115 - FSMTD252</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>03/06/2014<br><b>Local:</b> Av. Presidente Costa e Silva, 2140  - AVINE<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",FS115|FSMTD252
-38.562546,-3.819017,287,FSMTD241,FS114,305,00350:f,AV PRESIDENTE COSTA E SILVA,MONDUBIM,FS114,FSMTD241,Ativo,Fiscalizao,"Av. Presidente Costa e Silva, 89m antes da R. Cialne  [L-O]",CIALNE,Meio de quadra,20140603.000000,,Metrolgico,3,N,S,S,N,N,N,N,N,N,N,N,FS114 - FSMTD241,"<b>FS114 - FSMTD241</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>03/06/2014<br><b>Local:</b> Av. Presidente Costa e Silva, 89m antes da R. Cialne  - CIALNE<br>Meio de quadra<br>","<b>Tipo: </b>Metrolgico<br><b> Faixas monitoradas: </b> 3<br><b> Infraes: </b>Velocidade;",FS114|FSMTD241
-38.558364,-3.821112,103,130307.1157,01385101,105,00350:f,AV PRESIDENTE COSTA E SILVA,MONDUBIM,01385101,130307.1157,Ativo,Fiscalizao,Av. Pres. Costa e Silva x Av. Bernardo Manuel  [O-L],Indefinido,Cruzamento,20130404.000000,,Misto,4,N,S,S,S,S,S,N,N,N,N,N,01385101 - 130307.1157,<b>01385101 - 130307.1157</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>04/04/2013<br><b>Local:</b> Av. Pres. Costa e Silva x Av. Bernardo Manuel  - Indefinido<br>Cruzamento<br>,"<b>Tipo: </b>Misto<br><b> Faixas monitoradas: </b> 4<br><b> Infraes: </b>Velocidade; Parada; Avano; Converso;",01385101|130307.1157
-38.558225,-3.820954,102,130228.1147,01385102,200,00350:f,AV BERNARDO MANUEL,MONDUBIM,01385102,130228.1147,Ativo,Fiscalizao,Av. Bernardo Manuel x Av. Pres. Costa e Silva  [N-S],Indefinido,Cruzamento,20130405.000000,,No-metrolgico,4,N,S,N,S,S,N,S,N,N,N,N,01385102 - 130228.1147,<b>01385102 - 130228.1147</b><br><b>Ativo</b><br><b>Finalidade: </b>Fiscalizao<hr><b> Data de Ativao: </b>05/04/2013<br><b>Local:</b> Av. Bernardo Manuel x Av. Pres. Costa e Silva  - Indefinido<br>Cruzamento<br>,"<b>Tipo: </b>No-metrolgico<br><b> Faixas monitoradas: </b> 4<br><b> Infraes: </b>Parada; Avano; Retorno;",01385102|130228.1147
